Commune,Code Insee,url,Catégorie,Population,Site,https,Serveur,Version du serveur,Application,Version de l'application,Langage,Version du langage,Latitude,Longitude
Aast,64001,http://www.aast.free.fr,Pas à jour,192,oui,non,Apache,Inconnue,SPIP,1.9.2d,php,4.4.3,43.291069248635800,-0.081514182675204
Abancourt,60001,http://www.abancourt.fr,Pas à jour,646,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,49.692895703913997,1.769242157527210
Abbaretz,44001,http://www.abbaretz.fr,Pas à jour,1916,oui,non,Apache,2.2,SPIP,2.1.12,php,5.2.6,47.556034399414500,-1.493240247904430
Abbecourt,60002,http://commune-abbecourt.mairie.pagespro-orange.fr,Informations masquées (vulnérabilités pas exposées),775,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.361654297195003,2.155140559507270
Abbeville ,80001,http://www.abbeville.fr,Pas à jour,24155,oui,non,Apache,2.2,Joomla,Inconnue,php,5.3.29,50.108449071424403,1.832109386608600
Abbévillers,25004,http://www.abbevillers.fr,Informations masquées (vulnérabilités pas exposées),1076,oui,non,Google,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,47.427213674279599,6.922219941602850
Abilly,37001,http://www.abilly37.fr,Pas à jour,1121,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,46.941173521010803,0.734684905534055
Abjat-sur-Bandiat,24001,http://www.abjat-sur-bandiat.fr,Niveau de sécurité incertain,650,oui,non,IIS,6.0,Inconnue,Inconnue,asp.net,Inconnue,45.581701667348803,0.759701284615766
Ablain-Saint-Nazaire,62001,http://www.ablain-st-nazaire.com,Pas à jour,1791,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.10,50.396744966412498,2.697513013646800
Ablainzevelle,62002,http://www.ablainzevelle.perso.sfr.fr,Informations masquées (vulnérabilités pas exposées),200,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.153049812578303,2.741114028665690
Ableiges,95002,http://www.ableiges.fr,Informations masquées (vulnérabilités pas exposées),943,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.085389636244003,1.974827322041180
Ablis,78003,http://www.ablis.fr,Informations masquées (vulnérabilités pas exposées),3287,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.528470953296299,1.850863813458210
Ablon,14001,http://www.ablon.fr,Pas à jour,1189,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,49.394055764019697,0.287058061502775
Ablon-sur-Seine,94001,http://www.ablon-sur-seine.fr,Pas à jour,5171,oui,non,Apache,Inconnue,SPIP,3.0.17,php,5.3.8,48.724635340808099,2.421303849381330
Aboën,42001,http://www.aboen-info.fr,Niveau de sécurité incertain,363,oui,non,Nginx,1.0.15,Inconnue,Inconnue,Inconnue,Inconnue,45.412692453398698,4.126809651749840
Abondance,74001,http://www.mairie-abondance.fr,À jour,1342,oui,non,Apache,Inconnue,SPIP,2.1.26,php,Inconnue,46.266307750307902,6.731868913928250
Abondant,28001,http://www.abondant-village.com,Informations masquées (vulnérabilités pas exposées),2160,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.795235280090601,1.419625008912830
Abos,64005,http://www.abos64.fr/public,Pas à jour,487,oui,non,Apache,2.2,Inconnue,Inconnue,php,4.4.8,43.353929971860602,-0.551000520579871
Abreschviller,57003,http://www.abreschviller.fr,Pas à jour,1510,oui,non,Apache,2.2,SPIP,2.0.9,php,5.2.13,48.601685217581903,7.155412916790200
Abrest,03001,http://www.ville-abrest.com,Pas à jour,2732,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.4.35,46.096020964537601,3.449961474939650
Abriès,05001,http://mairie.abries.free.fr,Informations masquées (vulnérabilités pas exposées),365,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,44.816731788494600,6.941945105969250
Abscon,59002,http://abscon.fr,Informations masquées (vulnérabilités pas exposées),4228,oui,non,Nginx,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.327661677981503,3.297930441162280
Abzac,33001,http://www.commune-abzac.fr,Pas à jour,1790,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.12,45.010787806161098,-0.129447883454015
Accous,64006,http://www.accous.fr,Pas à jour,426,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.1,42.939511301198898,-0.579193371895965
Achenheim,67001,http://www.cc-leschateaux.fr,Pas à jour,2168,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,48.580615479422200,7.625746458834650
Achères,78005,http://www.mairie-acheres78.fr,Informations masquées (vulnérabilités pas exposées),19626,oui,non,Apache,Inconnue,eZ Publish,Inconnue,php,Inconnue,48.971989319262697,2.089745080112260
Achères,18001,http://www.acheres18.fr,Pas à jour,371,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,47.282633110184200,2.458758716756160
Achères-la-Forêt,77001,http://www.achereslaforet.net,Informations masquées (vulnérabilités pas exposées),1242,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,48.348762153117399,2.564090796768180
Acheville,62003,http://www.acheville62.fr,Informations masquées (vulnérabilités pas exposées),608,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.384582155132101,2.882488697122590
Achicourt,62004,http://www.ville-achicourt.fr,Informations masquées (vulnérabilités pas exposées),7705,oui,non,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.272288452254898,2.755775382948110
Achiet-le-Grand,62005,http://achiet-le-grand.jimdo.com,Pas à jour,1068,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,50.132743355735599,2.778965173267160
Acigné,35001,http://www.ville-acigne.fr,Niveau de sécurité incertain,6166,oui,non,Apache,2.2,Creaville,Inconnue,Inconnue,Inconnue,48.146457580168303,-1.519136912138280
Acq,62007,http://www.mairie-acq.fr,Pas à jour,552,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,50.349089275107403,2.655002559452300
Acquigny,27003,http://www.acquigny.fr,Niveau de sécurité incertain,1574,oui,non,Apache,2.2,Inconnue,Inconnue,Inconnue,Inconnue,49.164542100536103,1.176393558970850
Adé,65002,http://www.mairie-ade.fr,Pas à jour,741,oui,non,Apache,2.2,WebSee,Inconnue,php,5.2.13,43.141379978468002,-0.025950817921902
Adinfer,62009,http://adinfer.free.fr,Informations masquées (vulnérabilités pas exposées),237,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.193586386938897,2.705650838116100
Adon,45001,http://www.adon.fr,Niveau de sécurité incertain,179,oui,non,Apache,2.2,WebDev,Inconnue,Inconnue,Inconnue,47.764227638664700,2.798205775893430
Adriers,86001,http://www.adriers.fr,Pas à jour,728,oui,non,Apache,2.2,Joomla,Inconnue,php,5.3.29,46.264598634239903,0.790089299482120
Afa,2A001,http://www.mairie-afa.com,Pas à jour,2843,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,41.984060522677602,8.798381599343410
Affléville,54004,http://affleville.free.fr,Pas à jour,200,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.3,49.263997562334097,5.753534392816570
Agde,34003,http://www.ville-agde.fr,Informations masquées (vulnérabilités pas exposées),24567,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,43.308943428574999,3.484482710064110
Agen  ,47001,http://www.agen.fr,Pas à jour,33981,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.17,44.202867764658002,0.625833093545474
Aghione,2B002,http://www.aghione.fr,Pas à jour,234,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,42.098596330804597,9.411848460455969
Agneaux,50002,http://www.agneaux.fr,Niveau de sécurité incertain,4020,oui,non,IIS,7.5,Inconnue,Inconnue,asp.net,Inconnue,49.116050451073399,-1.129593170590030
Agnetz,60007,http://www.agnetz.fr,Informations masquées (vulnérabilités pas exposées),2960,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.396141243678301,2.382374396999250
Agnin,38003,http://www.agnin.info,Informations masquées (vulnérabilités pas exposées),969,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,45.336176575558703,4.860316886527930
Agnos,64007,http://www.agnos-64.fr,Pas à jour,880,oui,non,Apache,Inconnue,WordPress,3.5,php,Inconnue,43.153482147674502,-0.630361640625425
Agny,62013,http://www.mairie-agny.fr,Informations masquées (vulnérabilités pas exposées),1958,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,50.252972708609200,2.760600499488870
Agon-Coutainville,50003,http://www.agoncoutainville.fr,Niveau de sécurité incertain,2834,oui,non,IIS,7.5,e.Magnus,Inconnue,asp.net,Inconnue,49.036298528495401,-1.580802127317790
Agonac,24002,http://www.agonac.fr,Pas à jour,1643,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,45.281547772384599,0.745349080742717
Agris,16003,http://www.agris.fr,Pas à jour,828,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.6,45.776539438338602,0.327895368528393
Aguessac,12002,http://www.aguessac.fr,Niveau de sécurité incertain,860,oui,non,IIS,7.0,Inconnue,Inconnue,asp.net,Inconnue,44.161112842743201,3.068977461148010
Aguilcourt,02005,http://www.aguilcourt.com,Informations masquées (vulnérabilités pas exposées),349,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.393768437965299,3.967711424665260
Ahetze,64009,http://www.ahetze.fr,Pas à jour,1809,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,43.404294804375503,-1.570660309151980
Ahuillé,53001,http://www.mairie-ahuille.com,Pas à jour,1839,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,4.4.9,48.024570702503802,-0.872464666942633
Aïcirits-Camou-Suhast,64010,http://aiciritscamousuhast.fr,Pas à jour,655,oui,non,Nginx,Inconnue,Inconnue,Inconnue,php,5.5.20,43.353956433179697,-1.016271089372290
Aiffres,79003,http://www.ville-aiffres.fr,Informations masquées (vulnérabilités pas exposées),5229,oui,non,Apache,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,46.282675546529603,-0.414349737662462
Aiglemont,08003,http://www.aiglemont.fr,Pas à jour,1593,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.2.10,49.789812709731002,4.769942973491360
Aiglun,04001,http://commune-aiglun04.fr,Niveau de sécurité incertain,1276,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.3.3,44.063734134906298,6.138428618614130
Aiglun,06001,http://www.ville-aiglun.com,Niveau de sécurité incertain,94,oui,non,Apache,2.2,Inconnue,Inconnue,php,5.3.3,43.852768930411699,6.934944608277240
Aignan,32001,http://www.aignan.org,Pas à jour,775,oui,non,Apache,1.3,Inconnue,Inconnue,php,4.4.4,43.694572528836197,0.087485342302168
Aigne,34006,http://www.aigne.fr,Pas à jour,265,oui,non,Lighttp,1.4.28,Inconnue,Inconnue,Inconnue,Inconnue,43.326006992922800,2.792853008601320
Aigneville,80008,http://www.aigneville.fr,Informations masquées (vulnérabilités pas exposées),845,oui,non,Apache,Inconnue,IziSpot,4.60,Inconnue,Inconnue,50.036764732190399,1.610036900205970
Aigny,51003,http://mairieaigny.chez-alice.fr,Informations masquées (vulnérabilités pas exposées),239,oui,non,Lighttp,Inconnue,Inconnue,Inconnue,Inconnue,Inconnue,49.043271253885202,4.220975668052150
Aigonnay,79004,http://www.aigonnay.fr,Pas à jour,610,oui,non,Apache,Inconnue,Inconnue,Inconnue,php,5.2.17,46.326045012528603,-0.248005874312666
